employeeID,Name,Role,contact,Shift
1,Carmen Knevit,bullpen coach,cknevit0@nature.com,11 AM - 7 PM
2,Claudia Pulford,scout,cpulford1@timesonline.co.uk,12 PM - 8 PM
3,Lilly Matthiae,scout,lmatthiae2@ca.gov,9 AM - 5 PM
4,Eugenius Bonin,coach,ebonin3@sfgate.com,8 AM - 4 PM
5,Harwilll Odgers,pitching coach,hodgers4@sciencedaily.com,9 AM - 5 PM
6,Gherardo Cocking,pitching coach,gcocking5@who.int,8 AM - 4 PM
7,Minette Welfare,hitting coach,mwelfare6@icq.com,10 AM - 6 PM
8,Rayner Turford,manager,rturford7@uiuc.edu,9 AM - 5 PM
9,Sheilakathryn Labitt,scout,slabitt8@technorati.com,9 AM - 5 PM
10,Gabriela Memory,scout,gmemory9@plala.or.jp,11 AM - 7 PM
11,Hagan McGucken,first base coach,hmcguckena@yandex.ru,9 AM - 5 PM
12,Sullivan Beams,scout,sbeamsb@blog.com,12 PM - 8 PM
13,Horacio Knight,coach,hknightc@amazonaws.com,11 AM - 7 PM
14,Aylmer Louche,hitting coach,alouched@ft.com,9 AM - 5 PM
15,Micheline Brawley,bench coach,mbrawleye@gizmodo.com,11 AM - 7 PM
16,Mathilde Bingle,hitting coach,mbinglef@gmpg.org,8 AM - 4 PM
17,Carlen Skettles,bullpen coach,cskettlesg@bandcamp.com,11 AM - 7 PM
18,Alexandrina Fernez,manager,afernezh@hp.com,11 AM - 7 PM
19,Franky Frowen,third base coach,ffroweni@freewebs.com,12 PM - 8 PM
20,Hansiain Klempke,manager,hklempkej@hugedomains.com,12 PM - 8 PM
21,Jeth Ward,bench coach,jwardk@umn.edu,9 AM - 5 PM
22,Camellia Dwelley,bullpen coach,cdwelleyl@printfriendly.com,8 AM - 4 PM
23,Ginger Pendell,first base coach,gpendellm@netvibes.com,12 PM - 8 PM
24,Hynda Pock,trainer,hpockn@ucla.edu,8 AM - 4 PM
25,Olia Tort,bench coach,otorto@tinyurl.com,11 AM - 7 PM
26,Janie Penhale,bench coach,jpenhalep@amazon.co.jp,12 PM - 8 PM
27,Bria Floweth,scout,bflowethq@i2i.jp,10 AM - 6 PM
28,Sollie Cridlin,bench coach,scridlinr@nature.com,11 AM - 7 PM
29,Randy Hardy-Piggin,scout,rhardypiggins@cdc.gov,12 PM - 8 PM
30,Jo ann Medd,pitching coach,jannt@lycos.com,12 PM - 8 PM
31,Enrika Urien,manager,eurienu@cam.ac.uk,12 PM - 8 PM
32,Louise Vagg,manager,lvaggv@smugmug.com,12 PM - 8 PM
33,Flori Mougin,scout,fmouginw@whitehouse.gov,11 AM - 7 PM
34,Abel Abrashkin,bench coach,aabrashkinx@washington.edu,11 AM - 7 PM
35,Rriocard Dowtry,scout,rdowtryy@businessinsider.com,10 AM - 6 PM
36,Caz Winship,scout,cwinshipz@ezinearticles.com,8 AM - 4 PM
37,Tracie Wilbor,coach,twilbor10@irs.gov,10 AM - 6 PM
38,Theobald Goodlet,bench coach,tgoodlet11@technorati.com,10 AM - 6 PM
39,Rouvin Matteo,scout,rmatteo12@sohu.com,8 AM - 4 PM
40,Egbert Tiron,bench coach,etiron13@e-recht24.de,9 AM - 5 PM
41,Julee Guiett,third base coach,jguiett14@nature.com,12 PM - 8 PM
42,Colleen Stallworthy,coach,cstallworthy15@is.gd,11 AM - 7 PM
43,Concettina Riggott,bench coach,criggott16@geocities.jp,12 PM - 8 PM
44,Evie O'Shea,third base coach,eoshea17@imageshack.us,12 PM - 8 PM
45,Krystyna Edgeworth,hitting coach,kedgeworth18@bbb.org,11 AM - 7 PM
46,Jeannine Heaffey,hitting coach,jheaffey19@vinaora.com,10 AM - 6 PM
47,Tatiana Tanser,first base coach,ttanser1a@phpbb.com,10 AM - 6 PM
48,Wittie Palumbo,pitching coach,wpalumbo1b@ebay.co.uk,11 AM - 7 PM
49,Ellswerth Dewer,third base coach,edewer1c@rakuten.co.jp,9 AM - 5 PM
50,Zachariah Toffel,scout,ztoffel1d@t-online.de,11 AM - 7 PM
51,Trenton Cuddon,pitching coach,tcuddon1e@uol.com.br,10 AM - 6 PM
52,Victoria Pacquet,hitting coach,vpacquet1f@chronoengine.com,12 PM - 8 PM
53,Zonnya Geely,first base coach,zgeely1g@privacy.gov.au,12 PM - 8 PM
54,Garold Borrowman,manager,gborrowman1h@businesswire.com,12 PM - 8 PM
55,Syman Cottis,hitting coach,scottis1i@scribd.com,10 AM - 6 PM
56,Kelby Thurlbourne,pitching coach,kthurlbourne1j@pagesperso-orange.fr,12 PM - 8 PM
57,Marylee Inglesant,manager,minglesant1k@cdc.gov,9 AM - 5 PM
58,Willie Piborn,manager,wpiborn1l@dyndns.org,9 AM - 5 PM
59,Thornie Volkers,first base coach,tvolkers1m@auda.org.au,9 AM - 5 PM
60,Hephzibah Mirams,third base coach,hmirams1n@jigsy.com,12 PM - 8 PM
61,Ilene Emeney,coach,iemeney1o@technorati.com,9 AM - 5 PM
62,Harrison Posselow,bench coach,hposselow1p@livejournal.com,12 PM - 8 PM
63,Mimi Friedman,hitting coach,mfriedman1q@bigcartel.com,9 AM - 5 PM
64,Moselle Fowlston,hitting coach,mfowlston1r@51.la,11 AM - 7 PM
65,Addie Wenderoth,bench coach,awenderoth1s@cdc.gov,9 AM - 5 PM
66,Claude Busfield,hitting coach,cbusfield1t@disqus.com,11 AM - 7 PM
67,Jannelle Beckmann,bullpen coach,jbeckmann1u@illinois.edu,12 PM - 8 PM
68,Forrester Lean,bullpen coach,flean1v@angelfire.com,10 AM - 6 PM
69,Melisse Haacker,coach,mhaacker1w@gnu.org,11 AM - 7 PM
70,King Carnier,coach,kcarnier1x@si.edu,11 AM - 7 PM
71,Pernell Sussems,first base coach,psussems1y@hexun.com,11 AM - 7 PM
72,Sylvan Pimerick,pitching coach,spimerick1z@mayoclinic.com,12 PM - 8 PM
73,Cordey Fellowes,pitching coach,cfellowes20@mail.ru,11 AM - 7 PM
74,Arlan Saffen,coach,asaffen21@baidu.com,9 AM - 5 PM
75,Midge McGookin,scout,mmcgookin22@bandcamp.com,9 AM - 5 PM
76,Killie Docksey,hitting coach,kdocksey23@eepurl.com,9 AM - 5 PM
77,Kimmy Sauniere,hitting coach,ksauniere24@toplist.cz,9 AM - 5 PM
78,Carter Bon,hitting coach,cbon25@google.es,12 PM - 8 PM
79,Matt Giacubo,bench coach,mgiacubo26@dell.com,11 AM - 7 PM
80,Rawley Wrathmall,bench coach,rwrathmall27@va.gov,10 AM - 6 PM
81,Lindsey Sallinger,third base coach,lsallinger28@woothemes.com,8 AM - 4 PM
82,Evania Stockport,bench coach,estockport29@symantec.com,12 PM - 8 PM
83,Marilee Lotterington,manager,mlotterington2a@last.fm,10 AM - 6 PM
84,Catarina Bickford,hitting coach,cbickford2b@smh.com.au,12 PM - 8 PM
85,Andeee Lafrentz,manager,alafrentz2c@freewebs.com,11 AM - 7 PM
86,Gavan Preshous,pitching coach,gpreshous2d@stumbleupon.com,8 AM - 4 PM
87,Cindee Lumpkin,pitching coach,clumpkin2e@myspace.com,11 AM - 7 PM
88,Corabel Standbrooke,coach,cstandbrooke2f@ning.com,12 PM - 8 PM
89,Pippy Mace,coach,pmace2g@berkeley.edu,11 AM - 7 PM
90,Kalli Tregale,third base coach,ktregale2h@multiply.com,11 AM - 7 PM
91,Nikki Coatts,scout,ncoatts2i@php.net,8 AM - 4 PM
92,Crin Enrigo,third base coach,cenrigo2j@jigsy.com,11 AM - 7 PM
93,Ritchie Otson,third base coach,rotson2k@oakley.com,8 AM - 4 PM
94,Buck Pidler,bench coach,bpidler2l@cmu.edu,10 AM - 6 PM
95,Meggy Clee,scout,mclee2m@blogspot.com,10 AM - 6 PM
96,Germayne Tembridge,third base coach,gtembridge2n@imageshack.us,8 AM - 4 PM
97,Felicle Brokenbrow,third base coach,fbrokenbrow2o@booking.com,8 AM - 4 PM
98,Angelico Camacho,bench coach,acamacho2p@ebay.com,11 AM - 7 PM
99,Jenny Sunnex,manager,jsunnex2q@bloglines.com,9 AM - 5 PM
100,Dougy Odcroft,hitting coach,dodcroft2r@deviantart.com,8 AM - 4 PM
